-9957, -9798, -9587, -9581, -9419, -9348, -9321, -9073, -8842, -8458, -8424, -8356, -8293, -8226, -8078
-8059, -7743, -7715, -7554, -6933, -6841, -6802, -6766, -6604, -6293, -6226, -6132, -5942, -5896, -5874
-5829, -5782, -5501, -5354, -5277, -5183, -4654, -4366, -4327, -4289, -4149, -4133, -4119, -4063, -3829
-3729, -3572, -3253, -3219, -2839, -2715, -2645, -2568, -2516, -2501, -2216, -2214, -2121, -1614, -1584
-1473, -1276, -1273, -1265, -1236, -1134, -1116, -1084, -1004, -887, -771, -611, -600, -375, -275
-178, -129, 59, 172, 472, 540, 586, 775, 950, 1148, 1150, 1183, 1347, 1379, 1402
1494, 1753, 1782, 1823, 2521, 2640, 2727, 2768, 3170, 3283, 3492, 3818, 3958, 3986, 4017
4140, 4267, 4445, 4547, 4825, 4906, 4952, 4972, 5028, 5125, 5176, 5237, 5572, 5814, 6009
6038, 6164, 6281, 6372, 6540, 6793, 6945, 7044, 7083, 7176, 7224, 7423, 7479, 7736, 7838
8117, 8226, 8522, 8575, 8652, 8673, 8806, 8853, 8959, 9070, 9086, 9357, 9572, 9726, 9783
